Result Time,Granularity Period,Object Name,Reliability,"CR373:Cell In-Service Duration","R3710:Number of Cell BCCH Mutual Aids","R3711:Number of Recoveries after Cell BCCH Mutual Aids","R3720:Number of Cell Baseband Hopping Mutual Aids","R3721:Number of Recoveries after Cell Baseband Hopping Mutual Aids","R3722:Duration of Cell Turning off","R373:Cell Out-of-Service Duration","S3936U:Average Power Decrease on GSM 2.0 MHz Interfering Frequency","S3936V:Average Power Decrease on GSM 2.2 MHz Interfering Frequency","S3936W:Average Power Increase on GSM Non-Interfering Frequency","TR373:Cell Availability"
,Minutes,,,s,None,None,None,None,s,s,dB,dB,dB,%
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI897G1_NANA, CellIndex=190, CGI=716060412230B",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI821H3_MIRAMAR, CellIndex=189, CGI=7160604124725",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI821H2_MIRAMAR, CellIndex=188, CGI=7160604124724",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI821H1_MIRAMAR, CellIndex=187, CGI=7160604124723",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI821G3_MIRAMAR, CellIndex=186, CGI=7160604122015",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI821G2_MIRAMAR, CellIndex=185, CGI=7160604122014",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI821G1_MIRAMAR, CellIndex=184, CGI=7160604122013",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI844H3_MANCHAY, CellIndex=183, CGI=716060412480B",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI844H2_MANCHAY, CellIndex=182, CGI=716060412480A",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI844H1_MANCHAY, CellIndex=181, CGI=7160604124809",Unreliable,275,0,0,0,0,0,3325,,,,7.639
